date,us_twh
2008-12-15,4119.4
2009-01-15,4111.4
2009-02-15,4087.2
2009-03-15,4073.2
2009-04-15,4056.8
2009-05-15,4042.9
2009-06-15,4017.4
2009-07-15,3987.1
2009-08-15,3979.3
2009-09-15,3968.7
2009-10-15,3957.1
2009-11-15,3943.7
2009-12-15,3950.3
2010-01-15,3956.3
2010-02-15,3975.1
2010-03-15,3976.7
2010-04-15,3975.0
2010-05-15,3991.6
2010-06-15,4019.7
2010-07-15,4056.9
2010-08-15,4084.6
2010-09-15,4103.2
2010-10-15,4104.1
2010-11-15,4113.5
2010-12-15,4125.1
2011-01-15,4127.0
2011-02-15,4120.4
2011-03-15,4126.9
2011-04-15,4141.5
2011-05-15,4137.2
2011-06-15,4129.2
2011-07-15,4138.1
2011-08-15,4135.8
2011-09-15,4127.6
2011-10-15,4128.4
2011-11-15,4126.5
2011-12-15,4100.1
2012-01-15,4076.8
2012-02-15,4073.1
2012-03-15,4063.4
2012-04-15,4056.3
2012-05-15,4069.2
2012-06-15,4062.3
2012-07-15,4058.2
2012-08-15,4047.4
2012-09-15,4044.1
2012-10-15,4047.0
2012-11-15,4048.9
2012-12-15,4047.8
2013-01-15,4057.2
2013-02-15,4057.6
2013-03-15,4073.9
2013-04-15,4078.0
2013-05-15,4063.6
2013-06-15,4059.6
2013-07-15,4039.8
2013-08-15,4029.4
2013-09-15,4035.8
2013-10-15,4039.0
2013-11-15,4047.6
2013-12-15,4066.0
2014-01-15,4094.3
2014-02-15,4108.9
2014-03-15,4115.3
2014-04-15,4113.6
2014-05-15,4116.2
2014-06-15,4117.2
2014-07-15,4108.1
2014-08-15,4107.2
2014-09-15,4106.1
2014-10-15,4105.7
2014-11-15,4108.6
2014-12-15,4093.6
2015-01-15,4076.8
2015-02-15,4087.0
2015-03-15,4079.5
2015-04-15,4076.1
2015-05-15,4073.5
2015-06-15,4078.2
2015-07-15,4092.9
2015-08-15,4100.8
2015-09-15,4111.1
2015-10-15,4108.8
2015-11-15,4092.1
2015-12-15,4078.7
2016-01-15,4071.0
2016-02-15,4050.2
2016-03-15,4030.3
2016-04-15,4029.1
2016-05-15,4023.8
2016-06-15,4029.2
2016-07-15,4040.7
2016-08-15,4058.3
2016-09-15,4059.7
2016-10-15,4060.4
2016-11-15,4056.7
2016-12-15,4077.6
2017-01-15,4069.3
2017-02-15,4046.6
2017-03-15,4061.6
2017-04-15,4064.1
2017-05-15,4070.7
2017-06-15,4061.4
2017-07-15,4053.9
2017-08-15,4028.9
2017-09-15,4013.3
2017-10-15,4019.1
2017-11-15,4030.3
2017-12-15,4035.4
2018-01-15,4064.4
2018-02-15,4080.3
2018-03-15,4082.7
2018-04-15,4088.2
2018-05-15,4104.0
2018-06-15,4117.5
2018-07-15,4124.6
2018-08-15,4148.1
2018-09-15,4168.7
2018-10-15,4175.0
2018-11-15,4189.3
2018-12-15,4181.0
2019-01-15,4167.4
2019-02-15,4175.6
2019-03-15,4180.7
2019-04-15,4176.6
2019-05-15,4168.0
2019-06-15,4149.1
2019-07-15,4147.9
2019-08-15,4141.2
2019-09-15,4145.4
2019-10-15,4140.9
2019-11-15,4134.3
2019-12-15,4130.6
2020-01-15,4112.9
2020-02-15,4117.3
2020-03-15,4100.2
2020-04-15,4083.2
2020-05-15,4057.3
2020-06-15,4056.1
2020-07-15,4055.6
2020-08-15,4052.4
2020-09-15,4025.1
2020-10-15,4018.3
2020-11-15,4003.8
2020-12-15,4009.8
2021-01-15,4017.0
2021-02-15,4021.2
2021-03-15,4022.7
2021-04-15,4036.2
2021-05-15,4051.5
2021-06-15,4073.4
2021-07-15,4069.1
2021-08-15,4083.4
2021-09-15,4097.7
2021-10-15,4104.2
2021-11-15,4117.1
2021-12-15,4109.7
2022-01-15,4134.2
2022-02-15,4134.7
2022-03-15,4147.8
2022-04-15,4158.5
2022-05-15,4180.5
2022-06-15,4185.7
2022-07-15,4203.1
2022-08-15,4202.4
2022-09-15,4206.3
2022-10-15,4200.0
2022-11-15,4207.5
2022-12-15,4230.6
2023-01-15,4204.8
2023-02-15,4191.4
2023-03-15,4198.6
2023-04-15,4196.5
2023-05-15,4181.8
2023-06-15,4161.9
2023-07-15,4164.4
2023-08-15,4175.2
2023-09-15,4184.0
2023-10-15,4196.8
2023-11-15,4195.8
2023-12-15,4183.2
2024-01-15,4216.4
2024-02-15,4227.7
2024-03-15,4220.9
2024-04-15,4229.8
2024-05-15,4250.8
2024-06-15,4283.2
2024-07-15,4287.1
2024-08-15,4287.3
2024-09-15,4286.2
2024-10-15,4293.5
2024-11-15,4295.1
2024-12-15,4308.6
2025-01-15,4329.9
2025-02-15,4346.2
2025-03-15,4354.9
2025-04-15,4364.6
2025-05-15,4360.2
2025-06-15,4361.8
2025-07-15,4378.8
2025-08-15,4375.9
2025-09-15,4384.7
2025-10-15,4395.9
2025-11-15,4408.6
2025-12-15,4429.5
2026-01-15,4426.7
2026-02-15,4430.9
2026-03-15,4446.0
2026-04-15,4456.2
2026-05-15,4466.9
2026-06-15,4473.3
2026-07-15,4480.7
